experiment,game,method,init_p1,init_p2,success,final_coop_min
basin,stag_hunt,standard_pg,0.05,0.05,0,0.00927416563317702
basin,stag_hunt,standard_pg,0.05,0.095,0,0.009496729032100477
basin,stag_hunt,standard_pg,0.05,0.14,0,0.009437125044855933
basin,stag_hunt,standard_pg,0.05,0.185,0,0.009274918038356677
basin,stag_hunt,standard_pg,0.05,0.22999999999999998,0,0.009708378534096328
basin,stag_hunt,standard_pg,0.05,0.27499999999999997,0,0.009438477105865746
basin,stag_hunt,standard_pg,0.05,0.32,0,0.009525960643657126
basin,stag_hunt,standard_pg,0.05,0.365,0,0.009692883083884211
basin,stag_hunt,standard_pg,0.05,0.41,0,0.009415742165438092
basin,stag_hunt,standard_pg,0.05,0.45499999999999996,0,0.009618027347966587
basin,stag_hunt,standard_pg,0.05,0.49999999999999994,0,0.009822001749344623
basin,stag_hunt,standard_pg,0.05,0.545,0,0.009710034229970858
basin,stag_hunt,standard_pg,0.05,0.5900000000000001,0,0.009847154720719186
basin,stag_hunt,standard_pg,0.05,0.635,0,0.0099687443625282
basin,stag_hunt,standard_pg,0.05,0.68,0,0.010193829440002432
basin,stag_hunt,standard_pg,0.05,0.725,0,0.010438416684781631
basin,stag_hunt,standard_pg,0.05,0.77,0,0.01043470495456648
basin,stag_hunt,standard_pg,0.05,0.8150000000000001,0,0.01077325321745852
basin,stag_hunt,standard_pg,0.05,0.86,0,0.011196954782004219
basin,stag_hunt,standard_pg,0.05,0.905,0,0.011694225090698241
basin,stag_hunt,standard_pg,0.05,0.95,0,0.015880733362278434
basin,stag_hunt,standard_pg,0.095,0.05,0,0.009366018157472903
basin,stag_hunt,standard_pg,0.095,0.095,0,0.010474032730977434
basin,stag_hunt,standard_pg,0.095,0.14,0,0.01040805543201509
basin,stag_hunt,standard_pg,0.095,0.185,0,0.010414094855104503
basin,stag_hunt,standard_pg,0.095,0.22999999999999998,0,0.010656286225282079
basin,stag_hunt,standard_pg,0.095,0.27499999999999997,0,0.010760587729184062
basin,stag_hunt,standard_pg,0.095,0.32,0,0.010813052017104512
basin,stag_hunt,standard_pg,0.095,0.365,0,0.01078094529778569
basin,stag_hunt,standard_pg,0.095,0.41,0,0.01055194897179448
basin,stag_hunt,standard_pg,0.095,0.45499999999999996,0,0.01100036765495683
basin,stag_hunt,standard_pg,0.095,0.49999999999999994,0,0.010696587188329358
basin,stag_hunt,standard_pg,0.095,0.545,0,0.010762772442884434
basin,stag_hunt,standard_pg,0.095,0.5900000000000001,0,0.011248633134511906
basin,stag_hunt,standard_pg,0.095,0.635,0,0.011019655032480185
basin,stag_hunt,standard_pg,0.095,0.68,0,0.01144335074942078
basin,stag_hunt,standard_pg,0.095,0.725,0,0.01139678491947216
basin,stag_hunt,standard_pg,0.095,0.77,0,0.011558299086471139
basin,stag_hunt,standard_pg,0.095,0.8150000000000001,0,0.012398913283024986
basin,stag_hunt,standard_pg,0.095,0.86,0,0.012869917603901366
basin,stag_hunt,standard_pg,0.095,0.905,0,0.01366041454048765
basin,stag_hunt,standard_pg,0.095,0.95,0,0.025661312167260048
basin,stag_hunt,standard_pg,0.14,0.05,0,0.009457361949611519
basin,stag_hunt,standard_pg,0.14,0.095,0,0.01055660320461671
basin,stag_hunt,standard_pg,0.14,0.14,0,0.010845538532036325
basin,stag_hunt,standard_pg,0.14,0.185,0,0.011003769527048122
basin,stag_hunt,standard_pg,0.14,0.22999999999999998,0,0.011140776052131178
basin,stag_hunt,standard_pg,0.14,0.27499999999999997,0,0.0111091731224239
basin,stag_hunt,standard_pg,0.14,0.32,0,0.011150529413426672
basin,stag_hunt,standard_pg,0.14,0.365,0,0.01144089164396254
basin,stag_hunt,standard_pg,0.14,0.41,0,0.01163542723296376
basin,stag_hunt,standard_pg,0.14,0.45499999999999996,0,0.011351024540670215
basin,stag_hunt,standard_pg,0.14,0.49999999999999994,0,0.01136342591750492
basin,stag_hunt,standard_pg,0.14,0.545,0,0.011760930672991462
basin,stag_hunt,standard_pg,0.14,0.5900000000000001,0,0.011425776807904527
basin,stag_hunt,standard_pg,0.14,0.635,0,0.011976044403875234
basin,stag_hunt,standard_pg,0.14,0.68,0,0.012135479318086272
basin,stag_hunt,standard_pg,0.14,0.725,0,0.012252677227322737
basin,stag_hunt,standard_pg,0.14,0.77,0,0.013426248339056281
basin,stag_hunt,standard_pg,0.14,0.8150000000000001,0,0.0134051813747349
basin,stag_hunt,standard_pg,0.14,0.86,0,0.014916641122060998
basin,stag_hunt,standard_pg,0.14,0.905,0,0.016257428109165337
basin,stag_hunt,standard_pg,0.14,0.95,0,0.05169571306029437
basin,stag_hunt,standard_pg,0.185,0.05,0,0.009474337411338334
basin,stag_hunt,standard_pg,0.185,0.095,0,0.010503358474878592
basin,stag_hunt,standard_pg,0.185,0.14,0,0.011081806521123677
basin,stag_hunt,standard_pg,0.185,0.185,0,0.01121405039425217
basin,stag_hunt,standard_pg,0.185,0.22999999999999998,0,0.011610439421900398
basin,stag_hunt,standard_pg,0.185,0.27499999999999997,0,0.011471235851923394
basin,stag_hunt,standard_pg,0.185,0.32,0,0.011471401714515123
basin,stag_hunt,standard_pg,0.185,0.365,0,0.011547071061008869
basin,stag_hunt,standard_pg,0.185,0.41,0,0.011851146198589452
basin,stag_hunt,standard_pg,0.185,0.45499999999999996,0,0.011895079202275527
