experiment,game,method,seed,success,restarts,final_reward_mean
restart,stag_hunt,standard_pg,0,1,2,3.7195811698941954
restart,stag_hunt,standard_pg,1,1,1,3.2771638573116624
restart,stag_hunt,standard_pg,2,1,2,3.860186926146418
restart,stag_hunt,standard_pg,3,1,1,3.840261848980928
restart,stag_hunt,standard_pg,4,1,1,3.8456903210147573
restart,stag_hunt,standard_pg,5,1,1,3.8807036074322134
restart,stag_hunt,standard_pg,6,1,1,3.84509149390833
restart,stag_hunt,standard_pg,7,1,0,3.8432435909643097
restart,stag_hunt,standard_pg,8,1,1,3.8626243510628795
restart,stag_hunt,standard_pg,9,1,0,3.8651102727415814
restart,stag_hunt,standard_pg,10,1,1,3.890150543789396
restart,stag_hunt,standard_pg,11,1,2,3.864461149561433
restart,stag_hunt,standard_pg,12,1,4,3.845059800258751
restart,stag_hunt,standard_pg,13,1,4,3.791635062982382
restart,stag_hunt,standard_pg,14,1,3,3.8507952551657483
restart,stag_hunt,standard_pg,15,1,4,3.8208209589294606
restart,stag_hunt,standard_pg,16,1,1,3.9030348927996683
restart,stag_hunt,standard_pg,17,1,2,3.854631970136583
restart,stag_hunt,standard_pg,18,1,0,3.8868656922736324
restart,stag_hunt,standard_pg,19,1,2,3.8769417340158934
restart,stag_hunt,standard_pg,20,1,1,3.9182273923567865
restart,stag_hunt,standard_pg,21,1,2,3.784320307635456
restart,stag_hunt,standard_pg,22,1,0,3.8554200327866823
restart,stag_hunt,standard_pg,23,1,0,3.8563988571822128
restart,stag_hunt,standard_pg,24,1,2,3.783791913997166
restart,stag_hunt,standard_pg,25,1,0,3.8807562305724637
restart,stag_hunt,standard_pg,26,1,3,3.8844920079731144
restart,stag_hunt,standard_pg,27,1,0,3.798050501684092
restart,stag_hunt,standard_pg,28,1,3,3.8619043203531307
restart,stag_hunt,standard_pg,29,1,0,3.7996318430979508
restart,stag_hunt,standard_pg,30,1,6,3.865380158312772
restart,stag_hunt,standard_pg,31,1,0,3.8990293718811877
