label,schedule,seed,final_coop,final_return,success,time_to_conv
meta_mapg_constant,constant,0,0.5000,24.2056,0,2000
meta_mapg_constant,constant,1,0.5000,24.2056,0,2000
meta_mapg_constant,constant,2,0.0001,9.6837,0,2000
meta_mapg_constant,constant,3,0.5000,24.2056,0,2000
meta_mapg_constant,constant,4,0.5000,24.2056,0,2000
meta_mapg_constant,constant,5,0.0000,9.6838,0,2000
meta_mapg_constant,constant,6,1.0000,29.0468,1,20
meta_mapg_constant,constant,7,1.0000,29.0468,1,20
meta_mapg_constant,constant,8,0.5000,24.2056,0,2000
meta_mapg_constant,constant,9,0.0000,9.6823,0,2000
meta_mapg_constant,constant,10,0.5000,24.2056,0,2000
meta_mapg_constant,constant,11,1.0000,29.0468,1,20
meta_mapg_constant,constant,12,0.5000,24.2056,0,2000
meta_mapg_constant,constant,13,0.0000,9.6823,0,2000
meta_mapg_constant,constant,14,1.0000,29.0468,1,80
meta_mapg_constant,constant,15,0.0000,9.6823,0,2000
meta_mapg_constant,constant,16,0.0003,9.6906,0,2000
meta_mapg_constant,constant,17,0.0000,9.6823,0,2000
meta_mapg_constant,constant,18,0.5000,24.2056,0,2000
meta_mapg_constant,constant,19,0.5000,24.2056,0,2000
meta_mapg_two_phase,two_phase,0,0.5000,24.2056,0,2000
meta_mapg_two_phase,two_phase,1,0.5000,24.2056,0,2000
meta_mapg_two_phase,two_phase,2,0.0001,9.6837,0,2000
meta_mapg_two_phase,two_phase,3,0.5000,24.2056,0,2000
meta_mapg_two_phase,two_phase,4,0.5000,24.2056,0,2000
meta_mapg_two_phase,two_phase,5,0.0000,9.6838,0,2000
meta_mapg_two_phase,two_phase,6,1.0000,29.0468,1,20
meta_mapg_two_phase,two_phase,7,1.0000,29.0468,1,20
meta_mapg_two_phase,two_phase,8,0.5000,24.2056,0,2000
meta_mapg_two_phase,two_phase,9,0.0000,9.6823,0,2000
meta_mapg_two_phase,two_phase,10,1.0000,29.0468,1,1440
meta_mapg_two_phase,two_phase,11,0.9999,29.0445,1,20
meta_mapg_two_phase,two_phase,12,0.5000,24.2056,0,2000
meta_mapg_two_phase,two_phase,13,0.0000,9.6823,0,2000
meta_mapg_two_phase,two_phase,14,1.0000,29.0468,1,80
meta_mapg_two_phase,two_phase,15,0.0000,9.6823,0,2000
meta_mapg_two_phase,two_phase,16,0.5000,24.2056,0,2000
meta_mapg_two_phase,two_phase,17,0.0000,9.6823,0,2000
meta_mapg_two_phase,two_phase,18,0.5000,24.2056,0,2000
meta_mapg_two_phase,two_phase,19,0.5000,24.2056,0,2000
